date,open,close,high,low,volume,amount,code
2011-07-06,3933.47,3973.73,3973.73,3918.44,33382800,44439000000.0,sz399303
2011-07-07,3971.01,3975.17,4019.03,3954.78,36658300,50271000000.0,sz399303
2011-07-08,3967.37,3969.28,3977.29,3937.32,28200600,37089000000.0,sz399303
2011-07-11,3950.75,4010.78,4012.26,3950.15,30071900,40161000000.0,sz399303
2011-07-12,3965.28,3948.12,3984.1,3945.86,32720100,43839000000.0,sz399303
2011-07-13,3951.28,4029.39,4029.39,3951.28,30275000,41758000000.0,sz399303
2011-07-14,4039.62,4079.04,4079.04,4027.91,37860900,52922000000.0,sz399303
2011-07-15,4064.01,4112.04,4112.04,4062.55,40030800,57619000000.0,sz399303
2011-07-18,4118.47,4117.34,4132.5,4100.58,35215400,51288000000.0,sz399303
2011-07-19,4085.8,4060.98,4088.8,4046.94,30401300,42809000000.0,sz399303
2011-07-20,4091.61,4074.28,4092.41,4031.68,29403200,40798000000.0,sz399303
2011-07-21,4068.56,4019.84,4068.56,4019.13,29196200,38866000000.0,sz399303
2011-07-22,4034.42,4039.64,4056.46,4020.39,26279500,36473000000.0,sz399303
2011-07-25,4014.46,3873.14,4014.46,3859.98,33392500,44063000000.0,sz399303
2011-07-26,3867.99,3894.47,3894.47,3844.36,22877100,30015000000.0,sz399303
2011-07-27,3870.05,3967.3,3970.64,3864.95,25745600,34980000000.0,sz399303
2011-07-28,3918.4,3960.08,3962.53,3911.94,25179700,34769000000.0,sz399303
2011-07-29,3957.63,3927.08,3972.35,3915.74,23519000,32122000000.0,sz399303
2011-08-01,3918.67,3948.66,3959.54,3904.77,20699500,27884000000.0,sz399303
2011-08-02,3922.72,3932.41,3932.41,3863.94,25286100,33044000000.0,sz399303
2011-08-03,3880.83,3958.09,3966.57,3880.83,24720000,33770000000.0,sz399303
2011-08-04,3969.52,3971.89,3987.66,3954.99,24348700,33054000000.0,sz399303
2011-08-05,3819.03,3884.14,3913.93,3818.21,25803300,34429000000.0,sz399303
2011-08-08,3817.39,3687.33,3843.14,3611.31,31299700,39899000000.0,sz399303
2011-08-09,3542.27,3678.83,3699.23,3500.35,29730300,36485000000.0,sz399303
2011-08-10,3753.23,3738.06,3782.99,3731.7,31075000,39995000000.0,sz399303
2011-08-11,3642.45,3806.61,3806.61,3642.45,30577200,39399000000.0,sz399303
2011-08-12,3838.43,3858.9,3871.53,3833.52,32506300,42261000000.0,sz399303
2011-08-15,3872.16,3920.89,3920.89,3864.51,30722900,40588000000.0,sz399303
2011-08-16,3924.2,3893.43,3934.53,3881.55,29787500,39201000000.0,sz399303
2011-08-17,3880.88,3893.82,3913.14,3869.15,27151100,35351000000.0,sz399303
2011-08-18,3890.39,3824.49,3890.39,3821.18,24956100,32899000000.0,sz399303
2011-08-19,3727.42,3795.94,3795.94,3727.42,22108400,28273000000.0,sz399303
2011-08-22,3803.25,3780.84,3831.9,3769.51,21000200,27770000000.0,sz399303
2011-08-23,3804.61,3851.83,3851.83,3780.93,23149000,30603000000.0,sz399303
